"PointID" "long" "lat" "elev" "mat" "map" "gsp" "mtcm" "mmin" "mtwm" "mmax" "sday" "fday" "ffp" "dd5" "gsdd5" "d100" "dd0" "mmindd0" "smrpb" "smrsprpb" "sprp" "smrp" "winp"
"91-9" -121.785 39.712 83 16.6 702 97 7.3 2.2 26.3 35.3 45 333 284 4279 4018 33 1 86 0.33 0.11 64 7 458
"663-6" -121.7846 39.7063 87 16.6 706 98 7.3 2.2 26.3 35.3 45 333 285 4274 4015 33 1 86 0.32 0.11 65 7 460
"659-3" -122.0872 39.9129 55 16.9 553 83 7.6 2.3 26.7 35.8 47 332 283 4377 4086 32 1 84 0.36 0.13 52 7 357
"570-9" -122.091 39.9108 55 16.9 552 83 7.6 2.3 26.7 35.8 47 332 283 4377 4086 32 1 84 0.36 0.13 52 7 356
"576-8" -120.0405 34.7002 348 15.3 448 55 10.2 2.8 21.4 30.8 72 331 259 3798 3186 19 0 89 0.28 0.05 42 2 298
"115-2" -120.0381 34.6933 331 15.4 448 55 10.3 2.9 21.4 30.7 69 331 261 3819 3217 19 0 84 0.28 0.05 42 2 298
"116-6" -118.6669 35.0052 1228 13.1 310 56 5.5 0.2 23.1 30.6 114 314 207 3101 2621 49 14 251 0.47 0.22 36 8 189
"373-10" -118.6665 35.0053 1232 13 310 56 5.5 0.2 23.1 30.5 114 313 205 3089 2610 50 15 252 0.47 0.22 36 8 189
"369-11" -120.3608 37.5168 91 16.3 414 63 7 1.7 26 36.1 71 321 250 4172 3704 35 2 121 0.21 0.06 49 3 257
"274-1" -120.3214 37.5251 111 16.2 433 66 7 1.6 26 36.2 74 321 247 4155 3669 35 3 126 0.2 0.06 52 3 269
"270-8" -121.4017 36.7796 191 14.9 370 48 8.9 2.6 20.8 28.7 58 331 270 3659 3224 24 0 86 0.33 0.12 34 4 244
"212-2" -121.4077 36.7765 193 14.9 370 48 8.9 2.6 20.8 28.7 58 331 270 3654 3215 24 0 86 0.33 0.12 34 4 244
"210-14" -121.2372 35.9763 315 14.5 491 50 8.8 1.5 21.2 31.7 91 313 217 3499 2778 24 0 170 0.32 0.08 37 3 346
"614-6" -121.2328 35.9804 300 14.5 482 50 8.8 1.5 21.2 31.6 90 314 218 3507 2794 24 0 167 0.32 0.08 37 3 338
"609-12" -118.4834 35.1227 1239 12.9 293 57 5.4 -0.3 22.9 30.6 114 307 202 3053 2555 51 16 298 0.54 0.32 34 11 173
"4-12" -118.4892 35.1174 1270 12.8 301 57 5.3 -0.3 22.8 30.4 117 307 202 3011 2513 52 19 301 0.54 0.32 34 11 180
"3-4" -122.1759 37.9693 198 14.8 551 62 8.5 3.7 20.7 27 41 344 305 3608 3354 26 0 47 0.24 0.06 47 3 367
"279-1" -122.1766 37.9699 202 14.8 556 63 8.5 3.7 20.7 27.1 41 344 305 3608 3354 26 0 47 0.24 0.06 47 3 369
"277-6" -120.3998 35.1126 244 14.8 431 55 10.2 3.1 19.7 27.7 58 334 279 3606 3108 19 0 71 0.31 0.07 41 3 283
"321-5" -120.3911 35.124 249 14.9 428 54 10.2 3 19.9 27.9 58 334 278 3619 3126 19 0 73 0.32 0.08 40 3 282
"323-7" -123.4807 39.6722 500 12.3 1496 179 6 0.4 19.9 30.1 121 288 162 2791 2027 42 8 260 0.31 0.12 129 15 1009
"558-12" -123.4809 39.6515 512 12.3 1492 179 6 0.4 19.8 29.9 122 288 162 2767 2002 42 8 262 0.31 0.12 129 15 1006
"556-7" -118.5707 34.3983 424 17.1 442 54 10.6 3.2 24.8 34 60 335 284 4421 3879 18 0 67 0.38 0.13 38 5 300
"391-6" -118.572 34.4 393 17.2 430 52 10.7 3.3 24.8 34 59 336 283 4459 3916 17 0 63 0.37 0.14 37 5 292
"384-9" -122.9472 39.2429 440 13.8 913 100 6.4 -0.1 22.7 33.6 106 300 189 3328 2657 39 5 269 0.27 0.09 74 7 629
"160-3" -121.1078 39.0344 424 15.3 980 135 7 1.8 24.8 33.6 74 325 248 3838 3413 35 2 114 0.27 0.09 98 9 630
"157-4" -119.8886 34.9919 624 14.6 286 44 7.8 0.1 23 33.4 99 312 209 3567 2885 31 0 247 0.42 0.1 30 3 183
"330-5" -119.8891 34.9928 626 14.6 286 44 7.8 0.1 23 33.4 99 312 209 3564 2881 31 0 247 0.42 0.1 30 3 183
"328-3" -120.9391 35.7878 282 14.6 433 50 9.2 2.6 20.6 30.1 75 324 240 3536 2937 22 0 104 0.32 0.08 37 3 295
"602-4" -120.939 35.7875 283 14.6 433 50 9.2 2.6 20.6 30.1 75 324 240 3536 2937 22 0 104 0.32 0.08 37 3 295
"607-4" -121.8736 37.602 81 15.1 364 45 8.2 3 21.2 29.8 41 338 292 3734 3470 28 0 64 0.29 0.09 33 3 237
"296-3" -121.8733 37.6033 81 15.1 363 45 8.2 3 21.2 29.8 41 338 292 3734 3470 28 0 64 0.29 0.09 33 3 237
"294-9" -119.825 36.3476 61 17.5 191 32 7.5 2.5 27.6 36.8 39 336 290 4620 4396 32 1 74 0.33 0.09 22 2 119
"648-8" -119.8231 36.3437 78 17.5 194 32 7.4 2.5 27.6 36.8 41 336 289 4603 4371 32 1 75 0.33 0.09 22 2 121
"647-9" -122.3544 39.0028 325 14.9 611 62 6.5 0.3 24.4 34.9 79 316 230 3701 3248 38 5 210 0.32 0.1 42 4 430
"580-9" -122.3546 39.0031 317 14.9 607 61 6.5 0.3 24.4 34.9 79 316 230 3710 3254 38 4 208 0.33 0.1 41 4 428
"582-6" -120.3929 37.9752 525 14.4 788 116 6.2 0.1 24.3 34.7 107 311 209 3541 2930 40 6 248 0.23 0.07 88 6 496
"131-8" -120.3836 37.9943 586 14.2 830 122 6.1 -0.1 23.9 34.4 107 311 206 3448 2867 41 7 264 0.23 0.08 93 7 524
"128-10" -118.62 34.9871 1747 10.7 490 80 3.9 -0.6 20.4 26.8 125 307 199 2392 2047 77 56 383 0.43 0.17 53 9 313
"311-1" -118.619 34.9875 1747 10.7 490 80 3.9 -0.6 20.4 26.8 125 307 199 2392 2047 77 56 383 0.43 0.17 53 9 313
"310-2" -119.1704 36.3376 119 16.9 326 54 7.4 2 26.4 36.1 54 329 265 4375 4032 32 1 97 0.26 0.05 40 2 201
"86-12" -119.1705 36.3365 117 16.9 325 54 7.4 2 26.4 36.1 54 329 265 4382 4038 32 1 97 0.26 0.05 40 2 201
"88-9" -121.7839 39.7118 81 16.6 701 97 7.3 2.2 26.3 35.3 45 333 284 4282 4021 33 1 86 0.33 0.11 64 7 457
"664-12" -121.7843 39.712 76 16.6 699 97 7.3 2.2 26.3 35.4 45 333 285 4285 4024 33 1 85 0.33 0.11 64 7 455
"660-12" -122.0855 39.9184 62 16.8 557 84 7.6 2.3 26.7 35.8 47 332 283 4365 4076 32 1 84 0.35 0.13 52 7 359
"573-5" -122.0912 39.9111 55 16.9 551 82 7.6 2.3 26.7 35.8 47 332 283 4377 4086 32 1 84 0.37 0.14 51 7 356
"571-11" -120.0365 34.6884 326 15.4 450 55 10.3 2.9 21.4 30.7 64 330 261 3825 3246 19 0 83 0.28 0.05 42 2 300
"118-4" -120.0349 34.6863 320 15.5 450 55 10.4 2.9 21.4 30.7 61 331 262 3840 3284 18 0 83 0.28 0.05 42 2 300
"114-6" -118.6659 35.0054 1241 13 312 56 5.5 0.2 23 30.5 114 313 205 3074 2600 50 16 254 0.47 0.22 36 8 190
"368-12" -118.6672 35.0058 1226 13.1 309 55 5.6 0.2 23.1 30.6 114 314 207 3102 2621 49 14 251 0.49 0.23 35 8 189
"375-12" -120.3213 37.5235 115 16.2 434 66 7 1.6 26 36.1 74 321 247 4149 3666 35 3 126 0.2 0.06 52 3 269
"276-11" -120.3727 37.5172 88 16.3 412 62 7 1.7 26 36.1 70 321 250 4172 3709 35 2 120 0.22 0.06 48 3 256
"272-12" -121.4073 36.7751 221 14.9 384 49 8.9 2.5 20.9 28.9 60 331 266 3646 3202 24 0 91 0.32 0.11 35 4 254
"209-12" -121.4027 36.7781 192 14.9 370 48 8.9 2.6 20.8 28.7 58 331 269 3657 3221 24 0 87 0.33 0.12 34 4 244
"207-4" -121.2344 35.9803 301 14.5 483 50 8.8 1.5 21.2 31.6 91 314 218 3507 2788 24 0 168 0.32 0.08 37 3 339
"610-8" -121.2343 35.9792 299 14.5 483 50 8.8 1.6 21.1 31.6 90 314 218 3501 2788 24 0 166 0.32 0.08 37 3 339
"615-14" -118.489 35.116 1279 12.8 302 56 5.3 -0.3 22.7 30.3 117 307 202 2998 2507 53 19 301 0.51 0.29 34 10 182
"5-4" -118.4893 35.1139 1292 12.7 307 58 5.2 -0.4 22.7 30.2 117 307 202 2982 2494 53 20 303 0.53 0.29 35 10 184
"7-6" -122.1729 37.9653 146 14.9 530 58 8.5 3.7 20.6 26.8 37 344 305 3640 3406 26 0 46 0.23 0.07 44 3 354
"278-13" -122.1939 37.9655 142 14.8 541 60 8.6 3.8 20.5 26.5 35 346 308 3628 3408 25 0 44 0.22 0.07 46 3 361
"320-6" -120.3878 35.1059 228 14.9 418 54 10.3 3.2 19.7 27.7 56 335 281 3630 3141 19 0 68 0.32 0.08 40 3 274
"324-10" -123.5242 39.746 457 12.4 1550 187 6.1 0.7 20 30.1 115 289 168 2819 2086 42 7 237 0.32 0.12 133 16 1044
"432-10" -123.4838 39.6513 509 12.3 1494 179 6 0.5 19.8 29.9 121 288 162 2767 2010 42 8 259 0.31 0.12 129 15 1008
"429-3" -121.6701 37.3261 665 14.2 652 77 7.5 2.8 22.3 29.6 75 331 266 3423 3031 33 0 92 0.22 0.07 59 4 440
"390-8" -121.6688 37.3241 649 14.2 648 77 7.6 2.8 22.3 29.6 75 331 266 3431 3033 32 0 92 0.22 0.07 59 4 437
"389-12" -122.9475 39.2442 440 13.8 913 100 6.4 -0.1 22.7 33.6 106 300 189 3330 2657 39 5 269 0.27 0.09 74 7 629
"147-6" -122.9481 39.245 441 13.8 913 100 6.4 -0.1 22.7 33.6 105 301 190 3327 2672 39 5 269 0.27 0.09 74 7 629
"145-3" -121.4312 38.2624 7 16.2 435 53 7.5 3 24.4 34.3 37 341 302 4142 3945 32 1 62 0.26 0.1 39 4 291
"162-14" -121.4312 38.2624 7 16.2 435 53 7.5 3 24.4 34.3 37 341 302 4142 3945 32 1 62 0.26 0.1 39 4 291
"164-8" -119.8884 34.9923 613 14.6 285 44 7.8 0.2 23 33.5 104 313 210 3582 2862 31 0 241 0.42 0.1 30 3 182
"334-8" -119.8884 34.9902 624 14.6 286 44 7.8 0.1 23 33.4 99 312 209 3567 2885 31 0 247 0.42 0.1 30 3 183
"329-10" -120.9519 35.7881 320 14.5 452 51 9.2 2.6 20.7 30.1 83 322 229 3522 2865 22 0 107 0.31 0.08 38 3 309
"604-6" -120.9389 35.7878 279 14.6 432 50 9.2 2.6 20.6 30 74 324 241 3536 2943 22 0 103 0.32 0.08 37 3 294
"606-4" -121.8751 37.5987 82 15.1 367 46 8.2 3 21.2 29.7 41 338 292 3731 3467 28 0 64 0.28 0.09 34 3 239
"295-7" -121.8733 37.6035 81 15.1 363 45 8.2 3 21.2 29.8 41 338 292 3734 3470 28 0 64 0.29 0.09 33 3 237
"299-9" -119.8251 36.3447 60 17.5 191 32 7.5 2.5 27.6 36.8 39 336 290 4620 4396 32 1 74 0.33 0.09 22 2 119
"645-5" -119.8338 36.3539 64 17.5 192 32 7.4 2.5 27.6 36.8 40 336 290 4615 4388 32 1 74 0.33 0.09 22 2 120
"579-6" -122.3549 39.0044 320 14.9 608 62 6.5 0.3 24.4 34.9 79 316 230 3707 3254 38 5 210 0.32 0.1 42 4 428
"581-12" -120.4244 37.9573 440 14.8 727 107 6.4 0.4 24.6 35 91 314 215 3651 3141 39 5 215 0.23 0.07 82 6 457
"127-13" -120.3884 37.9793 529 14.4 792 116 6.2 0 24.3 34.7 107 311 208 3539 2930 40 7 252 0.23 0.07 88 6 499
"315-2" -118.6199 34.9879 1766 10.6 499 81 3.9 -0.6 20.2 26.6 125 307 200 2359 2023 78 58 388 0.42 0.17 54 9 320
"90-5" -119.1709 36.336 119 16.9 326 54 7.4 2 26.4 36.1 54 329 265 4375 4032 32 1 97 0.26 0.05 40 2 201
"87-12" -121.7855 39.7119 85 16.6 705 98 7.3 2.2 26.3 35.3 45 333 284 4274 4015 33 1 86 0.32 0.11 65 7 459
"661-1" -121.7842 39.7119 78 16.6 700 97 7.3 2.2 26.3 35.4 45 333 285 4285 4024 33 1 85 0.33 0.11 64 7 456
"658-11" -122.0899 39.9108 57 16.9 553 83 7.6 2.3 26.7 35.8 47 332 283 4377 4086 32 1 84 0.36 0.13 52 7 357
"182-8" -122.0914 39.9104 54 16.9 550 82 7.6 2.3 26.7 35.8 47 332 283 4377 4086 32 1 84 0.37 0.14 51 7 355
"183-15" -120.8122 38.71 508 14.6 885 133 6.6 1 24 33.5 81 321 236 3597 3167 38 4 170 0.29 0.1 96 10 559
"651-5" -120.8123 38.7085 500 14.6 879 131 6.6 1.1 24 33.6 84 321 235 3607 3161 38 4 165 0.3 0.11 94 10 556
"650-2" -123.3469 39.4114 416 13 1301 147 6.7 0.7 20.4 30.8 106 296 181 3002 2298 37 3 225 0.28 0.09 109 10 890
"374-1" -123.3468 39.4108 418 13 1303 147 6.7 0.7 20.4 30.8 106 296 181 3002 2298 37 3 225 0.28 0.09 109 10 891
"372-10" -120.3627 37.5166 90 16.3 414 63 7 1.7 26 36.1 70 321 250 4172 3711 35 2 121 0.21 0.06 49 3 257
"275-12" -120.3608 37.5167 91 16.3 414 63 7 1.7 26 36.1 71 321 250 4172 3704 35 2 121 0.21 0.06 49 3 257
"273-1" -121.4064 36.776 223 14.9 385 49 8.8 2.5 20.9 28.9 61 330 264 3645 3191 24 0 91 0.32 0.11 35 4 254
"208-2" -121.4014 36.7787 194 14.9 370 48 8.9 2.6 20.8 28.8 58 331 269 3657 3221 24 0 87 0.33 0.12 34 4 244
"213-5" -121.2334 35.9792 298 14.5 482 50 8.8 1.6 21.1 31.6 90 314 218 3501 2788 24 0 166 0.32 0.08 37 3 338
"612-3" -121.2369 35.9766 315 14.5 491 50 8.8 1.5 21.2 31.7 91 313 217 3499 2778 24 0 170 0.32 0.08 37 3 346
"608-9" -118.486 35.1187 1259 12.8 298 57 5.3 -0.3 22.8 30.4 115 307 202 3026 2533 51 17 299 0.54 0.32 34 11 178
"1-8" -118.4886 35.1171 1268 12.8 299 57 5.3 -0.3 22.8 30.4 117 307 202 3011 2513 52 19 301 0.54 0.32 34 11 178
"6-9" -122.1697 37.9699 176 14.8 540 60 8.5 3.7 20.7 27 38 344 305 3626 3386 26 0 47 0.22 0.07 46 3 360
"445-6" -122.1937 37.9654 146 14.8 543 60 8.6 3.8 20.5 26.5 35 346 308 3624 3406 25 0 44 0.22 0.07 46 3 363
"444-6" -121.6059 38.8818 11 16.4 528 63 7.5 2.7 25.2 35.1 41 337 291 4223 3991 32 1 69 0.29 0.09 44 4 354
"319-7" -121.6061 38.8814 11 16.4 528 63 7.5 2.7 25.2 35.1 41 337 291 4223 3991 32 1 69 0.29 0.09 44 4 354
"326-14" -123.4882 39.6885 493 12.3 1505 182 6 0.5 19.9 30.1 121 290 164 2795 2047 42 8 257 0.32 0.12 130 16 1014
"430-6" -123.4823 39.6514 510 12.3 1492 179 6 0.5 19.8 29.9 121 288 162 2767 2010 42 8 259 0.31 0.12 129 15 1006
"431-1" -121.669 37.3264 688 14.1 656 78 7.5 2.8 22.3 29.5 76 330 262 3405 3005 33 0 94 0.22 0.07 60 4 442
"387-8" -121.6701 37.3261 665 14.2 652 77 7.5 2.8 22.3 29.6 75 331 266 3423 3031 33 0 92 0.22 0.07 59 4 440
"386-5" -122.9506 39.2537 444 13.8 916 101 6.4 -0.2 22.6 33.6 107 299 190 3315 2626 39 5 272 0.28 0.09 74 7 631
"146-11" -122.9507 39.2536 444 13.8 916 101 6.4 -0.2 22.6 33.6 107 299 190 3315 2626 39 5 272 0.28 0.09 74 7 631
"144-1" -121.4312 38.2624 7 16.2 435 53 7.5 3 24.4 34.3 37 341 302 4142 3945 32 1 62 0.26 0.1 39 4 291
"158-7" -121.4312 38.2624 7 16.2 435 53 7.5 3 24.4 34.3 37 341 302 4142 3945 32 1 62 0.26 0.1 39 4 291
"163-8" -119.8889 34.9921 631 14.6 287 44 7.8 0.1 23 33.4 100 312 209 3558 2871 31 0 249 0.42 0.1 30 3 184
"327-1" -119.8877 34.9913 613 14.6 285 44 7.8 0.2 23 33.5 104 313 210 3582 2862 31 0 241 0.42 0.1 30 3 182
"333-6" -120.9692 35.7847 341 14.5 467 52 9.2 2.7 20.6 29.9 83 322 229 3502 2849 22 0 106 0.3 0.08 39 3 321
"600-6" -120.9506 35.7887 319 14.5 452 51 9.1 2.5 20.7 30.1 83 322 229 3522 2868 22 0 109 0.31 0.08 38 3 309
"601-7" -121.8737 37.6011 81 15.1 364 45 8.2 3 21.2 29.8 41 338 292 3731 3467 28 0 64 0.29 0.09 33 3 237
"341-16" -121.8736 37.601 81 15.1 364 45 8.2 3 21.2 29.8 41 338 292 3731 3467 28 0 64 0.29 0.09 33 3 237
"336-10" -119.2472 36.969 601 15.9 712 116 7.1 1.8 26.3 34.4 78 325 244 4069 3611 35 1 116 0.22 0.05 88 4 448
"593-3" -119.3679 36.9717 586 15.9 668 106 7.1 1.7 26.3 34.6 80 325 246 4039 3577 35 1 123 0.2 0.04 82 3 420
"597-4" -122.5536 38.433 169 14.7 877 86 8 2.6 21.4 31.1 61 331 267 3598 3211 30 0 88 0.26 0.1 63 6 616
"577-2" -122.5521 38.4201 149 14.8 859 84 8.1 2.7 21.3 31 59 331 268 3606 3222 29 0 83 0.25 0.08 62 5 603
"578-12" -120.4228 37.9564 438 14.8 725 107 6.4 0.4 24.6 35 91 314 216 3654 3144 39 5 215 0.23 0.07 82 6 455
"620-2" -120.4227 37.9564 437 14.8 725 107 6.4 0.4 24.6 35 91 314 216 3657 3147 39 5 215 0.23 0.07 82 6 455
"617-12" -123.2606 38.6184 289 12.5 1440 156 8.2 2.9 17.5 26.5 86 326 242 2784 2253 28 0 93 0.27 0.1 115 12 1006
"474-10" -123.2614 38.6178 279 12.5 1429 155 8.2 2.9 17.5 26.5 85 327 243 2787 2266 28 0 91 0.27 0.11 114 12 997
"475-4" -121.0833 37.4929 19 16.3 281 40 7.2 2.3 25.1 34.4 42 333 286 4187 3950 34 2 86 0.33 0.11 28 3 182
"473-11" -121.0663 37.4959 26 16.3 285 42 7.1 2.3 25.2 34.5 42 333 287 4194 3961 34 2 88 0.35 0.1 29 3 183
"11-10" -121.0816 37.4935 18 16.3 281 40 7.2 2.3 25.1 34.4 42 333 286 4190 3953 34 2 86 0.33 0.11 28 3 182
"13-8" -120.6246 38.052 445 14.9 727 109 6.6 1 24.5 34.6 78 320 235 3685 3256 38 4 174 0.25 0.09 82 7 455
"180-10" -120.623 38.051 448 14.9 729 109 6.6 1 24.5 34.6 78 320 235 3685 3256 38 4 175 0.25 0.09 82 7 457
"179-2" -120.8112 38.7136 539 14.5 906 136 6.5 0.9 23.9 33.4 80 320 237 3546 3129 39 4 177 0.3 0.1 98 10 574
"655-10" -120.8115 38.7138 542 14.4 909 136 6.5 0.9 23.8 33.4 79 320 237 3540 3130 39 5 178 0.3 0.1 98 10 577
"652-11" -123.3429 39.3829 431 12.9 1295 147 6.7 0.7 20.3 30.6 106 296 181 2986 2286 37 3 225 0.28 0.09 109 10 885
"140-13" -123.3417 39.384 434 12.9 1296 147 6.7 0.7 20.3 30.6 106 296 181 2984 2285 37 3 225 0.28 0.09 109 10 885
"141-4" -118.6921 35.0048 930 14.7 291 52 6.6 0.4 24.9 33.3 89 316 219 3638 3157 38 4 209 0.44 0.21 34 7 175
"249-3" -118.6917 35.0042 930 14.7 291 52 6.6 0.4 24.9 33.3 89 316 219 3638 3157 38 4 209 0.44 0.21 34 7 175
"247-2" -122.8297 38.6142 37 14.9 955 91 8.3 2.6 21.4 31.5 57 334 274 3672 3300 27 0 86 0.26 0.09 68 6 672
"256-16" -122.828 38.6136 67 14.9 983 96 8.2 2.5 21.4 31.5 61 332 266 3646 3246 28 0 92 0.26 0.08 71 6 690
"255-3" -121.4669 37.0787 264 15 430 52 8.3 2.6 21.9 29.8 59 334 276 3691 3319 27 0 86 0.3 0.08 38 3 292
"217-3" -121.467 37.0787 263 15 429 52 8.3 2.6 21.9 29.8 59 334 276 3691 3319 27 0 86 0.3 0.08 38 3 291
"220-4" -118.8952 34.8744 977 14.3 326 53 6.6 0.7 24.1 32.4 100 320 228 3481 2976 39 4 201 0.39 0.14 36 5 202
"28-3" -118.8935 34.8731 972 14.3 328 53 6.6 0.7 24.1 32.5 99 319 227 3487 2981 39 4 200 0.39 0.14 36 5 204
"34-9" -121.0142 38.052 59 16.3 420 64 7.2 2.5 25.2 35.2 47 335 288 4164 3907 34 2 79 0.31 0.11 46 5 262
"446-7" -121.0112 38.0514 45 16.3 414 64 7.2 2.5 25.3 35.2 45 335 288 4182 3936 34 2 79 0.31 0.11 46 5 258
"440-6" -121.6026 38.8812 12 16.4 529 63 7.5 2.7 25.2 35.1 41 337 291 4223 3991 32 1 69 0.29 0.09 44 4 355
"202-11" -121.5945 38.8865 9 16.4 532 64 7.5 2.7 25.2 35.1 41 337 291 4225 3994 32 1 69 0.28 0.09 45 4 355
